[2021-02-05 18:00:07] [ always  ] Converting Table #107 'user_log'
[2021-02-05 18:00:08] [ always  ] Converting Table #108 'vdef'
[2021-02-05 18:00:08] [ always  ] Converting Table #109 'vdef_items'
[2021-02-05 18:00:09] [ always  ] Converting Table #110 'version'
[2021-02-05 18:00:09] [ always  ] Found 6 templates to install
[2021-02-05 18:00:09] [ always  ] About to import Package #1 'Cacti_Stats.xml.gz'.
[2021-02-05 18:00:18] [ always  ] Import of Package #1 'Cacti_Stats.xml.gz' under Profile '1' succeeded
[2021-02-05 18:00:18] [ always  ] About to import Package #2 'Cisco_Router.xml.gz'.
[2021-02-05 18:00:25] [ always  ] Import of Package #2 'Cisco_Router.xml.gz' under Profile '1' succeeded
[2021-02-05 18:00:25] [ always  ] About to import Package #3 'Generic_SNMP_Device.xml.gz'.
[2021-02-05 18:00:28] [ always  ] Import of Package #3 'Generic_SNMP_Device.xml.gz' under Profile '1' succeeded
[2021-02-05 18:00:28] [ always  ] About to import Package #4 'Local_Linux_Machine.xml.gz'.
[2021-02-05 18:00:30] [ always  ] Import of Package #4 'Local_Linux_Machine.xml.gz' under Profile '1' succeeded
[2021-02-05 18:00:30] [ always  ] About to import Package #5 'NetSNMP_Device.xml.gz'.
[2021-02-05 18:00:40] [ always  ] Import of Package #5 'NetSNMP_Device.xml.gz' under Profile '1' succeeded
[2021-02-05 18:00:40] [ always  ] About to import Package #6 'Windows_Device.xml.gz'.
[2021-02-05 18:00:45] [ always  ] Import of Package #6 'Windows_Device.xml.gz' under Profile '1' succeeded
[2021-02-05 18:00:45] [ always  ] Repairing Automation Rules
[2021-02-05 18:00:45] [ always  ] Mapping Automation Template for Device Template 'Net-SNMP Device'
[2021-02-05 18:00:45] [ always  ] Mapping Automation Template for Device Template 'Windows Device'
[2021-02-05 18:00:45] [ always  ] Mapping Automation Template for Device Template 'Cisco Router'
[2021-02-05 18:00:46] [ always  ] Updating automation network (1), mode "on" => "on", subnet "192.168.1.0/24" => 192.168.1.0/24"
[2021-02-05 18:00:46] [ always  ] Device Template for First Cacti Device is 4
[2021-02-05 18:00:48] [ always  ] Creating Graphs for Default Device
[2021-02-05 18:00:48] [ always  ] Adding Device to Default Tree
[2021-02-05 18:00:48] [ always  ] Repopulating poller cache
[2021-02-05 18:00:48] [ always  ] Repopulating SNMP Agent cache
[2021-02-05 18:00:50] [ always  ] Generating RSA Key Pair
[2021-02-05 18:00:50] [ always  ] Finished INSTALL Process for v1.2.16
[2021-02-05 18:00:50] [ always  ] Installation was started at 2021-02-05 15:59:18, completed at 2021-02-05 16:00:50
